ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,Throughput,
1,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
2,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
3,20,0,54,939.0,885.0,20.0,109.00340417868878,
4,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
5,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
6,20,0,54,939.0,885.0,20.0,109.00340417868878,
7,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
8,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
9,20,0,54,939.0,885.0,20.0,109.00340417868878,
10,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
11,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
12,20,0,54,939.0,885.0,20.0,109.00340417868878,
13,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
14,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
15,20,0,54,939.0,885.0,20.0,109.00340417868878,
16,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
17,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
18,20,0,54,939.0,885.0,20.0,109.00340417868878,
19,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
20,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
21,20,0,54,939.0,885.0,20.0,109.00340417868878,
22,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
23,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
24,20,0,54,939.0,885.0,20.0,109.00340417868878,
25,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
26,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
27,20,0,54,939.0,885.0,20.0,109.00340417868878,
28,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
29,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
30,20,0,54,939.0,885.0,20.0,109.00340417868878,
31,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
32,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
33,20,0,54,939.0,885.0,20.0,109.00340417868878,
34,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
35,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
36,20,0,54,939.0,885.0,20.0,109.00340417868878,
37,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
38,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
39,20,0,54,939.0,885.0,20.0,109.00340417868878,
40,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
41,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
42,20,0,54,939.0,885.0,20.0,109.00340417868878,
43,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
44,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
45,20,0,54,939.0,885.0,20.0,109.00340417868878,
46,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
47,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
48,20,0,54,939.0,885.0,20.0,109.00340417868878,
49,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
50,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
51,20,0,54,939.0,885.0,20.0,109.00340417868878,
52,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
53,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
54,20,0,54,939.0,885.0,20.0,109.00340417868878,
55,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
56,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
57,20,0,54,939.0,885.0,20.0,109.00340417868878,
58,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
59,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
60,20,0,54,939.0,885.0,20.0,109.00340417868878,
61,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
62,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
63,20,0,54,939.0,885.0,20.0,109.00340417868878,
64,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
65,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
66,20,0,54,939.0,885.0,20.0,109.00340417868878,
67,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
68,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
69,20,0,54,939.0,885.0,20.0,109.00340417868878,
70,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
71,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
72,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
73,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
74,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
75,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
76,20,0,54,939.0,885.0,20.0,109.00340417868878,
77,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
78,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
79,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
80,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
81,20,0,54,939.0,885.0,20.0,109.00340417868878,
82,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
83,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
84,20,0,54,939.0,885.0,20.0,109.00340417868878,
85,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
86,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
87,20,0,54,939.0,885.0,20.0,109.00340417868878,
88,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
89,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
90,20,0,54,939.0,885.0,20.0,109.00340417868878,
91,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
92,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
93,20,0,54,939.0,885.0,20.0,109.00340417868878,
94,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
95,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
96,20,0,54,939.0,885.0,20.0,109.00340417868878,
97,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
98,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
99,20,0,54,939.0,885.0,20.0,109.00340417868878,
100,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
101,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
102,20,0,54,939.0,885.0,20.0,109.00340417868878,
103,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
104,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
105,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
106,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
107,20,0,54,939.0,885.0,20.0,109.00340417868878,
108,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
109,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
110,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
111,20,0,54,939.0,885.0,20.0,109.00340417868878,
112,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
113,20,0,54,939.0,885.0,20.0,109.00340417868878,
114,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
115,20,1386,1440,939.0,885.0,20.0,109.00340417868878,
