ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,Throughput,
1,8,37,79,927.0,885.0,8.0,104.04298460629164,
2,8,77,119,927.0,885.0,8.0,104.04298460629164,
4,8,806,848,927.0,885.0,8.0,104.04298460629164,
5,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
6,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
7,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
8,8,797,839,927.0,885.0,8.0,104.04298460629164,
12,8,32,74,927.0,885.0,8.0,104.04298460629164,
13,8,32,74,927.0,885.0,8.0,104.04298460629164,
28,8,29,71,927.0,885.0,8.0,104.04298460629164,
29,8,326,368,927.0,885.0,8.0,104.04298460629164,
30,8,276,318,927.0,885.0,8.0,104.04298460629164,
31,8,52,94,927.0,885.0,8.0,104.04298460629164,
33,8,88,130,927.0,885.0,8.0,104.04298460629164,
34,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
35,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
36,8,800,842,927.0,885.0,8.0,104.04298460629164,
37,8,44,86,927.0,885.0,8.0,104.04298460629164,
38,8,38,80,927.0,885.0,8.0,104.04298460629164,
40,8,514,556,927.0,885.0,8.0,104.04298460629164,
41,8,85,127,927.0,885.0,8.0,104.04298460629164,
42,8,37,79,927.0,885.0,8.0,104.04298460629164,
43,8,378,420,927.0,885.0,8.0,104.04298460629164,
44,8,32,74,927.0,885.0,8.0,104.04298460629164,
45,8,68,110,927.0,885.0,8.0,104.04298460629164,
46,8,40,82,927.0,885.0,8.0,104.04298460629164,
47,8,842,884,927.0,885.0,8.0,104.04298460629164,
48,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
49,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
50,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
51,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
52,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
53,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
54,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
55,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
56,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
57,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
58,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
59,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
60,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
61,8,41,83,927.0,885.0,8.0,104.04298460629164,
62,8,41,83,927.0,885.0,8.0,104.04298460629164,
63,8,41,83,927.0,885.0,8.0,104.04298460629164,
64,8,41,83,927.0,885.0,8.0,104.04298460629164,
65,8,41,83,927.0,885.0,8.0,104.04298460629164,
66,8,41,83,927.0,885.0,8.0,104.04298460629164,
67,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
68,8,41,83,927.0,885.0,8.0,104.04298460629164,
69,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
70,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
71,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
72,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
73,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
74,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
75,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
76,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
77,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
78,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
79,8,41,83,927.0,885.0,8.0,104.04298460629164,
80,8,41,83,927.0,885.0,8.0,104.04298460629164,
81,8,41,83,927.0,885.0,8.0,104.04298460629164,
82,8,41,83,927.0,885.0,8.0,104.04298460629164,
83,8,41,83,927.0,885.0,8.0,104.04298460629164,
84,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
85,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
86,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
87,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
88,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
89,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
90,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
91,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
92,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
93,8,41,83,927.0,885.0,8.0,104.04298460629164,
94,8,41,83,927.0,885.0,8.0,104.04298460629164,
95,8,41,83,927.0,885.0,8.0,104.04298460629164,
96,8,41,83,927.0,885.0,8.0,104.04298460629164,
97,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
98,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
99,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
100,8,1350,1392,927.0,885.0,8.0,104.04298460629164,
