ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,Throughput,
1,20,546,600,990.0,935.0,20.0,96.95041892828723,
2,20,0,54,990.0,935.0,20.0,96.95041892828723,
3,20,1,55,990.0,935.0,20.0,96.95041892828723,
4,20,74,128,990.0,935.0,20.0,96.95041892828723,
5,20,38,92,990.0,935.0,20.0,96.95041892828723,
6,20,46,100,990.0,935.0,20.0,96.95041892828723,
7,20,0,54,990.0,935.0,20.0,96.95041892828723,
8,20,46,100,990.0,935.0,20.0,96.95041892828723,
9,32,0,66,990.0,935.0,20.0,96.95041892828723,
10,20,46,100,990.0,935.0,20.0,96.95041892828723,
11,32,0,66,990.0,935.0,20.0,96.95041892828723,
12,20,0,54,990.0,935.0,20.0,96.95041892828723,
13,20,123,177,990.0,935.0,20.0,96.95041892828723,
14,20,0,54,990.0,935.0,20.0,96.95041892828723,
15,20,1,55,990.0,935.0,20.0,96.95041892828723,
16,20,1,55,990.0,935.0,20.0,96.95041892828723,
17,20,116,170,990.0,935.0,20.0,96.95041892828723,
18,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
19,20,0,54,990.0,935.0,20.0,96.95041892828723,
20,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
21,20,1155,1209,990.0,935.0,20.0,96.95041892828723,
22,20,46,100,990.0,935.0,20.0,96.95041892828723,
23,20,0,54,990.0,935.0,20.0,96.95041892828723,
24,20,46,100,990.0,935.0,20.0,96.95041892828723,
25,20,46,100,990.0,935.0,20.0,96.95041892828723,
26,32,0,66,990.0,935.0,20.0,96.95041892828723,
27,20,0,54,990.0,935.0,20.0,96.95041892828723,
28,20,0,54,990.0,935.0,20.0,96.95041892828723,
29,20,0,54,990.0,935.0,20.0,96.95041892828723,
30,20,1312,1366,990.0,935.0,20.0,96.95041892828723,
33,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
34,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
35,20,0,54,990.0,935.0,20.0,96.95041892828723,
36,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
37,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
38,20,0,54,990.0,935.0,20.0,96.95041892828723,
39,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
40,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
41,20,0,54,990.0,935.0,20.0,96.95041892828723,
42,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
43,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
44,20,0,54,990.0,935.0,20.0,96.95041892828723,
45,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
46,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
47,20,0,54,990.0,935.0,20.0,96.95041892828723,
48,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
49,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
50,20,0,54,990.0,935.0,20.0,96.95041892828723,
51,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
52,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
53,20,0,54,990.0,935.0,20.0,96.95041892828723,
54,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
55,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
56,20,0,54,990.0,935.0,20.0,96.95041892828723,
57,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
58,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
59,20,0,54,990.0,935.0,20.0,96.95041892828723,
60,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
61,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
62,20,0,54,990.0,935.0,20.0,96.95041892828723,
63,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
64,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
65,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
66,20,0,54,990.0,935.0,20.0,96.95041892828723,
67,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
68,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
69,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
70,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
71,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
72,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
73,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
74,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
75,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
76,20,0,54,990.0,935.0,20.0,96.95041892828723,
77,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
78,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
79,20,0,54,990.0,935.0,20.0,96.95041892828723,
80,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
81,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
82,20,0,54,990.0,935.0,20.0,96.95041892828723,
83,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
84,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
85,20,0,54,990.0,935.0,20.0,96.95041892828723,
86,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
87,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
88,20,0,54,990.0,935.0,20.0,96.95041892828723,
89,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
90,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
91,20,0,54,990.0,935.0,20.0,96.95041892828723,
92,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
93,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
94,20,0,54,990.0,935.0,20.0,96.95041892828723,
95,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
96,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
97,20,0,54,990.0,935.0,20.0,96.95041892828723,
98,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
99,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
100,20,0,54,990.0,935.0,20.0,96.95041892828723,
101,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
102,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
103,20,0,54,990.0,935.0,20.0,96.95041892828723,
104,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
105,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
106,20,0,54,990.0,935.0,20.0,96.95041892828723,
107,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
108,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
109,20,0,54,990.0,935.0,20.0,96.95041892828723,
110,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
111,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
112,20,0,54,990.0,935.0,20.0,96.95041892828723,
113,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
114,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
115,20,0,54,990.0,935.0,20.0,96.95041892828723,
116,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
117,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
118,20,0,54,990.0,935.0,20.0,96.95041892828723,
119,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
120,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
121,20,0,54,990.0,935.0,20.0,96.95041892828723,
122,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
123,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
124,20,0,54,990.0,935.0,20.0,96.95041892828723,
125,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
126,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
127,20,0,54,990.0,935.0,20.0,96.95041892828723,
128,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
129,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
130,20,0,54,990.0,935.0,20.0,96.95041892828723,
131,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
132,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
133,20,0,54,990.0,935.0,20.0,96.95041892828723,
134,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
135,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
136,20,0,54,990.0,935.0,20.0,96.95041892828723,
137,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
138,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
139,20,0,54,990.0,935.0,20.0,96.95041892828723,
140,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
141,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
142,20,0,54,990.0,935.0,20.0,96.95041892828723,
143,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
144,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
145,20,0,54,990.0,935.0,20.0,96.95041892828723,
146,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
147,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
148,20,0,54,990.0,935.0,20.0,96.95041892828723,
149,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
150,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
151,20,0,54,990.0,935.0,20.0,96.95041892828723,
152,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
153,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
154,20,0,54,990.0,935.0,20.0,96.95041892828723,
155,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
156,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
157,20,0,54,990.0,935.0,20.0,96.95041892828723,
158,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
159,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
160,20,0,54,990.0,935.0,20.0,96.95041892828723,
161,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
162,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
163,20,0,54,990.0,935.0,20.0,96.95041892828723,
164,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
165,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
166,20,0,54,990.0,935.0,20.0,96.95041892828723,
167,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
168,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
169,20,0,54,990.0,935.0,20.0,96.95041892828723,
170,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
171,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
172,20,0,54,990.0,935.0,20.0,96.95041892828723,
173,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
174,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
175,20,0,54,990.0,935.0,20.0,96.95041892828723,
176,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
177,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
178,20,0,54,990.0,935.0,20.0,96.95041892828723,
179,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
180,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
181,20,0,54,990.0,935.0,20.0,96.95041892828723,
182,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
183,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
184,20,0,54,990.0,935.0,20.0,96.95041892828723,
185,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
186,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
187,20,0,54,990.0,935.0,20.0,96.95041892828723,
188,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
189,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
190,20,0,54,990.0,935.0,20.0,96.95041892828723,
191,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
192,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
193,20,0,54,990.0,935.0,20.0,96.95041892828723,
194,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
195,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
196,20,0,54,990.0,935.0,20.0,96.95041892828723,
197,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
198,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
199,20,0,54,990.0,935.0,20.0,96.95041892828723,
200,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
201,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
202,20,0,54,990.0,935.0,20.0,96.95041892828723,
203,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
204,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
205,20,0,54,990.0,935.0,20.0,96.95041892828723,
206,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
207,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
208,20,0,54,990.0,935.0,20.0,96.95041892828723,
209,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
210,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
211,20,0,54,990.0,935.0,20.0,96.95041892828723,
212,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
213,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
214,20,0,54,990.0,935.0,20.0,96.95041892828723,
215,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
216,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
217,20,0,54,990.0,935.0,20.0,96.95041892828723,
218,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
219,20,1386,1440,990.0,935.0,20.0,96.95041892828723,
