ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,Throughput,
1,8,40,82,925.0,882.0,8.0,69.62261113781867,
4,8,12,54,925.0,882.0,8.0,69.62261113781867,
5,8,174,216,925.0,882.0,8.0,69.62261113781867,
8,8,441,483,925.0,882.0,8.0,69.62261113781867,
9,8,85,127,925.0,882.0,8.0,69.62261113781867,
10,8,37,79,925.0,882.0,8.0,69.62261113781867,
11,8,40,82,925.0,882.0,8.0,69.62261113781867,
14,8,12,54,925.0,882.0,8.0,69.62261113781867,
15,8,174,216,925.0,882.0,8.0,69.62261113781867,
16,8,174,216,925.0,882.0,8.0,69.62261113781867,
17,8,806,848,925.0,882.0,8.0,69.62261113781867,
18,8,1190,1232,925.0,882.0,8.0,69.62261113781867,
19,8,806,848,925.0,882.0,8.0,69.62261113781867,
20,8,35,77,925.0,882.0,8.0,69.62261113781867,
21,8,326,368,925.0,882.0,8.0,69.62261113781867,
22,8,276,318,925.0,882.0,8.0,69.62261113781867,
23,8,46,88,925.0,882.0,8.0,69.62261113781867,
24,8,326,368,925.0,882.0,8.0,69.62261113781867,
25,8,37,79,925.0,882.0,8.0,69.62261113781867,
26,8,40,82,925.0,882.0,8.0,69.62261113781867,
29,8,12,54,925.0,882.0,8.0,69.62261113781867,
30,8,174,216,925.0,882.0,8.0,69.62261113781867,
34,8,851,893,925.0,882.0,8.0,69.62261113781867,
35,8,851,893,925.0,882.0,8.0,69.62261113781867,
36,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
37,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
38,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
39,8,44,86,925.0,882.0,8.0,69.62261113781867,
40,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
41,8,41,83,925.0,882.0,8.0,69.62261113781867,
42,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
43,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
44,8,41,83,925.0,882.0,8.0,69.62261113781867,
45,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
46,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
47,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
48,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
49,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
50,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
51,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
52,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
53,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
54,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
55,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
56,8,41,83,925.0,882.0,8.0,69.62261113781867,
57,8,41,83,925.0,882.0,8.0,69.62261113781867,
58,8,41,83,925.0,882.0,8.0,69.62261113781867,
59,8,41,83,925.0,882.0,8.0,69.62261113781867,
60,8,41,83,925.0,882.0,8.0,69.62261113781867,
61,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
62,8,41,83,925.0,882.0,8.0,69.62261113781867,
63,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
64,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
65,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
66,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
67,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
68,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
69,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
70,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
71,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
72,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
73,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
74,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
75,8,41,83,925.0,882.0,8.0,69.62261113781867,
76,8,41,83,925.0,882.0,8.0,69.62261113781867,
77,8,41,83,925.0,882.0,8.0,69.62261113781867,
78,8,41,83,925.0,882.0,8.0,69.62261113781867,
79,8,41,83,925.0,882.0,8.0,69.62261113781867,
80,8,41,83,925.0,882.0,8.0,69.62261113781867,
81,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
82,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
83,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
84,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
85,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
86,8,41,83,925.0,882.0,8.0,69.62261113781867,
87,8,41,83,925.0,882.0,8.0,69.62261113781867,
88,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
89,8,41,83,925.0,882.0,8.0,69.62261113781867,
90,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
91,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
92,8,41,83,925.0,882.0,8.0,69.62261113781867,
93,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
94,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
95,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
96,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
97,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
98,8,41,83,925.0,882.0,8.0,69.62261113781867,
99,8,41,83,925.0,882.0,8.0,69.62261113781867,
100,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
101,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
102,8,41,83,925.0,882.0,8.0,69.62261113781867,
103,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
104,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
105,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
106,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
107,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
108,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
109,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
110,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
111,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
112,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
113,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
114,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
115,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
116,8,1350,1392,925.0,882.0,8.0,69.62261113781867,
117,8,41,83,925.0,882.0,8.0,69.62261113781867,
118,8,41,83,925.0,882.0,8.0,69.62261113781867,
119,8,41,83,925.0,882.0,8.0,69.62261113781867,
120,8,41,83,925.0,882.0,8.0,69.62261113781867,
