ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,Throughput,
1,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
2,20,13,67,926.0,872.0,20.0,78.32118276159362,
3,20,0,54,926.0,872.0,20.0,78.32118276159362,
4,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
5,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
6,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
7,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
8,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
9,20,0,54,926.0,872.0,20.0,78.32118276159362,
10,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
11,20,0,54,926.0,872.0,20.0,78.32118276159362,
12,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
13,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
14,20,0,54,926.0,872.0,20.0,78.32118276159362,
15,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
16,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
17,20,0,54,926.0,872.0,20.0,78.32118276159362,
18,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
19,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
20,20,0,54,926.0,872.0,20.0,78.32118276159362,
21,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
22,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
23,20,0,54,926.0,872.0,20.0,78.32118276159362,
24,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
25,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
26,20,0,54,926.0,872.0,20.0,78.32118276159362,
27,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
28,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
29,20,0,54,926.0,872.0,20.0,78.32118276159362,
30,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
31,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
32,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
33,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
34,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
35,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
36,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
37,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
38,20,0,54,926.0,872.0,20.0,78.32118276159362,
39,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
40,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
41,20,0,54,926.0,872.0,20.0,78.32118276159362,
42,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
43,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
44,20,0,54,926.0,872.0,20.0,78.32118276159362,
45,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
46,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
47,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
48,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
49,20,0,54,926.0,872.0,20.0,78.32118276159362,
50,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
51,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
52,20,0,54,926.0,872.0,20.0,78.32118276159362,
53,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
54,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
55,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
56,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
57,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
58,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
59,20,0,54,926.0,872.0,20.0,78.32118276159362,
60,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
61,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
62,20,0,54,926.0,872.0,20.0,78.32118276159362,
63,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
64,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
65,20,0,54,926.0,872.0,20.0,78.32118276159362,
66,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
67,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
68,20,0,54,926.0,872.0,20.0,78.32118276159362,
69,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
70,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
71,20,0,54,926.0,872.0,20.0,78.32118276159362,
72,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
73,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
74,20,0,54,926.0,872.0,20.0,78.32118276159362,
75,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
76,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
77,20,0,54,926.0,872.0,20.0,78.32118276159362,
78,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
79,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
80,20,0,54,926.0,872.0,20.0,78.32118276159362,
81,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
82,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
83,20,0,54,926.0,872.0,20.0,78.32118276159362,
84,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
85,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
86,20,0,54,926.0,872.0,20.0,78.32118276159362,
87,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
88,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
89,20,0,54,926.0,872.0,20.0,78.32118276159362,
90,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
91,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
92,20,0,54,926.0,872.0,20.0,78.32118276159362,
93,20,1,55,926.0,872.0,20.0,78.32118276159362,
94,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
95,20,1386,1440,926.0,872.0,20.0,78.32118276159362,
96,20,0,54,926.0,872.0,20.0,78.32118276159362,
