ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,Throughput,
1,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
2,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
3,32,0,66,999.0,945.0,20.0,58.129288839571956,
4,32,0,66,999.0,945.0,20.0,58.129288839571956,
5,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
6,32,0,66,999.0,945.0,20.0,58.129288839571956,
7,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
8,32,0,66,999.0,945.0,20.0,58.129288839571956,
9,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
10,32,0,66,999.0,945.0,20.0,58.129288839571956,
11,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
12,32,0,66,999.0,945.0,20.0,58.129288839571956,
13,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
14,32,0,66,999.0,945.0,20.0,58.129288839571956,
15,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
16,32,0,66,999.0,945.0,20.0,58.129288839571956,
17,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
18,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
19,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
20,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
21,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
22,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
23,32,0,66,999.0,945.0,20.0,58.129288839571956,
24,32,0,66,999.0,945.0,20.0,58.129288839571956,
25,32,0,66,999.0,945.0,20.0,58.129288839571956,
26,32,0,66,999.0,945.0,20.0,58.129288839571956,
27,32,0,66,999.0,945.0,20.0,58.129288839571956,
28,32,0,66,999.0,945.0,20.0,58.129288839571956,
29,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
30,32,0,66,999.0,945.0,20.0,58.129288839571956,
31,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
32,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
33,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
34,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
35,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
36,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
37,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
38,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
39,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
40,32,0,66,999.0,945.0,20.0,58.129288839571956,
41,32,0,66,999.0,945.0,20.0,58.129288839571956,
42,32,0,66,999.0,945.0,20.0,58.129288839571956,
43,32,0,66,999.0,945.0,20.0,58.129288839571956,
44,32,0,66,999.0,945.0,20.0,58.129288839571956,
45,32,0,66,999.0,945.0,20.0,58.129288839571956,
46,32,0,66,999.0,945.0,20.0,58.129288839571956,
47,32,0,66,999.0,945.0,20.0,58.129288839571956,
48,32,0,66,999.0,945.0,20.0,58.129288839571956,
49,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
50,32,0,66,999.0,945.0,20.0,58.129288839571956,
51,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
52,32,0,66,999.0,945.0,20.0,58.129288839571956,
53,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
54,32,0,66,999.0,945.0,20.0,58.129288839571956,
55,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
56,32,0,66,999.0,945.0,20.0,58.129288839571956,
57,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
58,32,0,66,999.0,945.0,20.0,58.129288839571956,
59,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
60,32,0,66,999.0,945.0,20.0,58.129288839571956,
61,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
62,32,0,66,999.0,945.0,20.0,58.129288839571956,
63,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
64,32,0,66,999.0,945.0,20.0,58.129288839571956,
65,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
66,32,0,66,999.0,945.0,20.0,58.129288839571956,
67,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
68,32,0,66,999.0,945.0,20.0,58.129288839571956,
69,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
70,32,0,66,999.0,945.0,20.0,58.129288839571956,
71,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
72,32,0,66,999.0,945.0,20.0,58.129288839571956,
73,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
74,32,0,66,999.0,945.0,20.0,58.129288839571956,
75,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
76,32,0,66,999.0,945.0,20.0,58.129288839571956,
77,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
78,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
79,32,0,66,999.0,945.0,20.0,58.129288839571956,
80,32,0,66,999.0,945.0,20.0,58.129288839571956,
81,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
82,32,0,66,999.0,945.0,20.0,58.129288839571956,
83,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
84,32,0,66,999.0,945.0,20.0,58.129288839571956,
85,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
86,32,0,66,999.0,945.0,20.0,58.129288839571956,
87,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
88,32,0,66,999.0,945.0,20.0,58.129288839571956,
89,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
90,32,0,66,999.0,945.0,20.0,58.129288839571956,
91,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
92,32,0,66,999.0,945.0,20.0,58.129288839571956,
93,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
94,32,0,66,999.0,945.0,20.0,58.129288839571956,
95,20,1386,1440,999.0,945.0,20.0,58.129288839571956,
